cui	eg_uri	obo
C1569671	http://dikb.org/ad#C1569671	http://purl.obolibrary.org/obo/CHEBI_131196
C1566074	http://dikb.org/ad#C1566074	http://purl.obolibrary.org/obo/CHEBI_131923
C0537551	http://dikb.org/ad#C0537551	http://purl.obolibrary.org/obo/CHEBI_135922
C0008405	http://dikb.org/ad#C0008405	http://purl.obolibrary.org/obo/CHEBI_15354
C0025646	http://dikb.org/ad#C0025646	http://purl.obolibrary.org/obo/CHEBI_15414
C0039350	http://dikb.org/ad#C0039350	http://purl.obolibrary.org/obo/CHEBI_15891
C0038148	http://dikb.org/ad#C0038148	http://purl.obolibrary.org/obo/CHEBI_16330
C0041984	http://dikb.org/ad#C0041984	http://purl.obolibrary.org/obo/CHEBI_16704
C0033308	http://dikb.org/ad#C0033308	http://purl.obolibrary.org/obo/CHEBI_17026
C0019879	http://dikb.org/ad#C0019879	http://purl.obolibrary.org/obo/CHEBI_17230
C0020268	http://dikb.org/ad#C0020268	http://purl.obolibrary.org/obo/CHEBI_17650
C0006674	http://dikb.org/ad#C0006674	http://purl.obolibrary.org/obo/CHEBI_17823
C0006657	http://dikb.org/ad#C0006657	http://purl.obolibrary.org/obo/CHEBI_17933
C0567416	http://dikb.org/ad#C0567416	http://purl.obolibrary.org/obo/CHEBI_25367
C0050218	http://dikb.org/ad#C0050218	http://purl.obolibrary.org/obo/CHEBI_27485
C0039644	http://dikb.org/ad#C0039644	http://purl.obolibrary.org/obo/CHEBI_27902
C0106916	http://dikb.org/ad#C0106916	http://purl.obolibrary.org/obo/CHEBI_28093
C0046196	http://dikb.org/ad#C0046196	http://purl.obolibrary.org/obo/CHEBI_28744
C0053800	http://dikb.org/ad#C0053800	http://purl.obolibrary.org/obo/CHEBI_33216
C0175921	http://dikb.org/ad#C0175921	http://purl.obolibrary.org/obo/CHEBI_35223
C2936695	http://dikb.org/ad#C2936695	http://purl.obolibrary.org/obo/CHEBI_36973
C0015011	http://dikb.org/ad#C0015011	http://purl.obolibrary.org/obo/CHEBI_4903
C0020740	http://dikb.org/ad#C0020740	http://purl.obolibrary.org/obo/CHEBI_5855
C0074007	http://dikb.org/ad#C0074007	http://purl.obolibrary.org/obo/CHEBI_65585
C0006863	http://dikb.org/ad#C0006863	http://purl.obolibrary.org/obo/CHEBI_69478
C0022631	http://dikb.org/ad#C0022631	http://purl.obolibrary.org/obo/CHEBI_73693
C1550543	http://dikb.org/ad#C1550543	http://purl.obolibrary.org/obo/CHEBI_74707
C0031469	http://dikb.org/ad#C0031469	http://purl.obolibrary.org/obo/CHEBI_8093
C0022614	http://dikb.org/ad#C0022614	http://purl.obolibrary.org/obo/CHEBI_6121
C0167117	http://dikb.org/ad#C0167117	http://purl.obolibrary.org/obo/CHEBI_64073
C0049920	http://dikb.org/ad#C0049920	http://purl.obolibrary.org/obo/CHEBI_64294
C0025242	http://dikb.org/ad#C0025242	http://purl.obolibrary.org/obo/CHEBI_64312
C3484390	http://dikb.org/ad#C3484390	http://purl.obolibrary.org/obo/CHEBI_64645
C0048893	http://dikb.org/ad#C0048893	http://purl.obolibrary.org/obo/CHEBI_6498
C0251991	http://dikb.org/ad#C0251991	http://purl.obolibrary.org/obo/CHEBI_65329
C0024002	http://dikb.org/ad#C0024002	http://purl.obolibrary.org/obo/CHEBI_6539
C0024778	http://dikb.org/ad#C0024778	http://purl.obolibrary.org/obo/CHEBI_6690
C0035693	http://dikb.org/ad#C0035693	http://purl.obolibrary.org/obo/CHEBI_67208
C0025598	http://dikb.org/ad#C0025598	http://purl.obolibrary.org/obo/CHEBI_6801
C0043832	http://dikb.org/ad#C0043832	http://purl.obolibrary.org/obo/CHEBI_68554
C1999375	http://dikb.org/ad#C1999375	http://purl.obolibrary.org/obo/CHEBI_68558
C2746078	http://dikb.org/ad#C2746078	http://purl.obolibrary.org/obo/CHEBI_68610
C0025746	http://dikb.org/ad#C0025746	http://purl.obolibrary.org/obo/CHEBI_6872
C0069679	http://dikb.org/ad#C0069679	http://purl.obolibrary.org/obo/CHEBI_69832
C1456408	http://dikb.org/ad#C1456408	http://purl.obolibrary.org/obo/CHEBI_71193
C0124981	http://dikb.org/ad#C0124981	http://purl.obolibrary.org/obo/CHEBI_73169
C0051078	http://dikb.org/ad#C0051078	http://purl.obolibrary.org/obo/CHEBI_73321
C0299890	http://dikb.org/ad#C0299890	http://purl.obolibrary.org/obo/CHEBI_73494
C0125690	http://dikb.org/ad#C0125690	http://purl.obolibrary.org/obo/CHEBI_73503
C0220839	http://dikb.org/ad#C0220839	http://purl.obolibrary.org/obo/CHEBI_73507
C0220839	http://dikb.org/ad#C0220839	http://purl.obolibrary.org/obo/CHEBI_73509
C0206298	http://dikb.org/ad#C0206298	http://purl.obolibrary.org/obo/CHEBI_73567
C0010654	http://dikb.org/ad#C0010654	http://purl.obolibrary.org/obo/CHEBI_73582
C0023401	http://dikb.org/ad#C0023401	http://purl.obolibrary.org/obo/CHEBI_73584
