"uri"	"name"	"definition"	"alternative term"
cf371310-170f-4572-8a1b-7d4fe69aa271	CURACAO ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	INDIAN ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	JAFFARABAD ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	MEDITERRANEAN ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	STAR CACTUS WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	TRUE ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	UNGUENTINE CACTUS WHOLE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF EXTRACT [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF EXTRACT [INCI]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF EXTRACT	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA JUICE [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA EXTRACT [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA EXTRACT [VANDF]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA EXTRACT	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE VERA [HOC]	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE VERA (L.) BURM.F.	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA DRY LEAF JUICE [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOES [MART.]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOES (ALOE BARBADENSIS)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE LEAF EXTRACT	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE HERBA (ALOE VERA)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE FOLIUM (ALOE VERA)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE FOLII EXTRACTUS (ALOE VERA)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF WATER [INCI]	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE VERA WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE VULGARIS WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	BARBADOS ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	BARBATOS ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	BURN PLANT WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	COASTAL ALOE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	GHRITA KUMARI WHOLE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF WATER	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	WEST INDIAN ALOE WHOLE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE (ALOE BARBADENSIS)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE (ALOE BARBADENSIS) [CHP]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF EXTRACT	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF EXTRACT [INCI]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF [INCI]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF JUICE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF JUICE [INCI]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF JUICE POWDER	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF JUICE POWDER [INCI]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF POWDER	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE BARBADENSIS LEAF POWDER [INCI]	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE BARBADENSIS WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE CHINENSIS WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE ELONGATA WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE FLAVA WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE INDICA WHOLE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	OLD ALOE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	LU HUI YE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	LU HUI (ALOE VERA)	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	LUHUI (ALOE BARBADENSIS)	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE LANZAE WHOLE	Aloe vera	Aloe vera
cf371310-170f-4572-8a1b-7d4fe69aa271	ALOE RUBESCENS WHOLE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	KANYASARA	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	GHRITA KUMARI LEAF	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	FEMA NO. 2047	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	CURACAO ALOE LEAF	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	BARBATOS ALOE LEAF	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA [VANDF]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA MUCILAGE [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA [MART.]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF POWDER [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF MUCILAGE [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF JUICE [WHO-DD]	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF JUICE	Aloe vera	Aloe vera
"65127ee0-6828-4d9c-b5de-2e752df51a22"	ALOE VERA LEAF EXUDATE	Aloe vera	Aloe vera
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS ARISTATA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS BUSSMUL WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS CERATOPHYLLA WHOLE	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	INDIAN BARBERRY STEM	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS CHITRIA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS ARISTATA DC.	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS ARISTATA [WHO-DD]	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS COCCINEA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS COERULESCENS WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS GRACILLIMA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS MACROPHYLLA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS SERRATIFOLIA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS SIKKIMENSIS WHOLE	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	NEPALESE BARBERRY STEM	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	BERBERIS UNDULATA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	DARUHARIDRA WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	DARVI WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	INDIAN BARBERRY [HOC]	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	INDIAN BARBERRY WHOLE	Berberis aristata	Barberry
"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	NEPALESE BARBERRY WHOLE	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	DARVI STEM	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	BERBERIS ARISTATA	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	BERBERIS ARISTATA [MI]	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	BERBERIS ARISTATA STEM	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	BERBERIS ARISTATA STEM [WHO-DD]	Berberis aristata	Barberry
"9448495e-561a-449a-8ab9-5ba28d4dbe09"	DARUHARIDRA STEM	Berberis aristata	Barberry
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA STRICTA WHOLE	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	SUGAR BEET FIBER [FCC]	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	SUGAR BEET FIBER	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	COMMON BEET FIBER	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	BETA VULGARIS FIBRE [WHO-DD]	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	BETA VULGARIS FIBRE	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	BETA VULGARIS FIBER	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	BETA MARITIMA FIBER	Beta vulgaris	Beet root
"80d47ce8-352d-4c4d-8939-efb3e8a0c0ee"	BEET FIBER	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BEET [HOC]	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BEET WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA ALBA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA ALTISSIMA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA ATRIPLICIFOLIA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA BENGALENSIS WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA BRASILIENSIS WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA CARNULOSA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA CICLA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA CRISPA WHOLE	Beta vulgaris	Beet root
e646c8d2-e269-411a-9407-f9db7d1d2f39	BETA DECUMBENS WHOLE	Beta vulgaris	Beet root
