"id","chemical_name","chemical_id","protein_name","protein_id","protein_class","relation_name","relation_type","relation_id","activity_type","activity_value","activity_source","activity_source_link","action_type"
318,"omeprazole, amoxicillin and clarithromycin",CHEBI:7772,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
319,"omeprazole, amoxicillin and metronidazole",CHEBI:7772,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
320,paroxetine,CHEBI:7936,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,4,WOMBAT-PK,"",""
321,pefloxacin,CHEBI:50199,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,Ki,4,WOMBAT-PK,"",""
322,primaquine,CHEBI:8405,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
323,prochlorperazine,CHEBI:8435,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
324,propafenone,CHEBI:63619,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
325,propranolol,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
326,propranolol and other antihypertensives,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
327,propranolol and thiazides,CHEBI:8499,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,5,DRUG MATRIX,"",""
328,sulconazole,CHEBI:9325,Cytochrome P450 1A2,,Enzyme,is_substrate_of,substrate_of,DIDEO_00000041,IC50,6,DRUG MATRIX,"",""
